"Date","Price","Open","High","Low","Vol.","Change %"
"07/28/2016","183.81","183.80","183.95","183.30","1.37K","-0.41%"
"07/27/2016","184.57","184.78","184.81","184.22","1.39K","0.08%"
"07/26/2016","184.42","184.57","184.61","183.94","2.05K","-0.09%"
"07/25/2016","184.59","184.91","184.98","184.39","2.45K","-0.11%"
"07/22/2016","184.80","184.41","184.90","183.71","4.60K","0.34%"
"07/21/2016","184.17","183.96","184.47","183.13","4.70K","0.07%"
"07/20/2016","184.04","185.22","185.22","183.75","12.74K","-0.37%"
"07/19/2016","184.72","184.10","184.86","184.10","3.46K","0.75%"
"07/18/2016","183.35","183.89","184.47","183.43","8.13K","-0.21%"
"07/15/2016","183.74","182.80","183.60","182.74","4.81K","0.11%"
"07/14/2016","183.54","183.91","184.06","183.14","2.59K","-0.34%"
"07/13/2016","184.16","184.42","185.04","183.76","9.84K","-0.08%"
"07/12/2016","184.30","185.60","185.60","183.52","14.28K","-0.68%"
"07/11/2016","185.56","186.56","186.56","185.28","1.61K","-0.23%"
"07/08/2016","185.99","185.67","186.30","185.30","3.94K","0.11%"
"07/07/2016","185.78","185.43","185.91","185.24","3.60K","0.24%"
"07/06/2016","185.34","184.86","186.35","184.86","5.96K","0.36%"
"07/05/2016","184.67","184.75","184.75","183.51","3.09K","0.56%"
"07/04/2016","183.64","183.65","184.20","183.35","3.89K","0.21%"
"07/01/2016","183.25","184.51","184.51","183.15","2.16K","0.23%"
"06/30/2016","182.83","182.50","182.80","181.22","1.45K","0.07%"
"06/29/2016","182.70","183.00","183.25","182.45","5.25K","-0.35%"
"06/28/2016","183.35","182.42","183.32","181.89","2.74K","-0.10%"
"06/27/2016","183.53","183.20","184.55","182.77","3.07K","1.32%"
"06/24/2016","181.14","178.00","182.48","177.50","7.11K","2.86%"
"06/23/2016","176.11","176.49","176.59","174.75","1.47K","-0.15%"
"06/22/2016","176.38","177.26","177.26","176.31","1.48K","-0.50%"
"06/21/2016","177.26","176.47","177.30","176.12","2.50K","0.35%"
"06/20/2016","176.64","176.63","176.82","176.25","6.67K","-1.03%"
"06/17/2016","178.48","178.45","178.90","177.85","11.37K","-1.08%"
"06/16/2016","180.42","178.71","181.20","178.71","3.62K","0.92%"
"06/15/2016","178.77","178.95","178.95","178.54","1.57K","-0.39%"
"06/14/2016","179.47","178.94","180.45","178.87","3.54K","0.77%"
"06/13/2016","178.10","179.37","180.00","178.00","5.02K","-0.25%"
"06/10/2016","178.55","179.20","179.20","177.96","227.80K","0.53%"
"06/09/2016","177.61","176.69","178.16","176.69","2.07K","0.69%"
"06/08/2016","176.40","176.71","176.84","176.40","1.61K","-0.26%"
"06/07/2016","176.86","174.95","176.97","174.95","7.01K","0.55%"
"06/06/2016","175.90","177.90","177.90","175.74","1.75K","-0.40%"
"06/03/2016","176.60","178.20","178.74","176.52","1.27K","-0.85%"
"06/02/2016","178.12","177.04","177.04","177.04","0.06K","0.24%"
"06/01/2016","177.69","178.44","178.44","177.56","1.86K","-0.31%"
"05/31/2016","178.25","178.00","178.38","177.30","1.99K","0.04%"
"05/30/2016","178.18","178.95","178.95","178.00","6.26K","-0.26%"
"05/27/2016","178.65","177.30","178.75","177.30","2.33K","0.45%"
"05/26/2016","177.85","177.95","179.01","177.32","3.13K","0.05%"
"05/25/2016","177.77","177.03","178.12","177.03","3.35K","0.24%"
"05/24/2016","177.35","177.03","177.65","177.03","2.86K","0.41%"
"05/23/2016","176.62","176.87","177.19","176.63","3.01K","-0.16%"
"05/20/2016","176.91","176.95","177.17","176.48","3.50K","-0.11%"
"05/19/2016","177.10","176.80","177.29","176.80","1.12K","0.18%"
"05/18/2016","176.78","177.21","177.64","177.00","1.20K","-0.07%"
"05/17/2016","176.90","176.54","177.05","176.32","2.08K","0.17%"
"05/16/2016","176.60","178.34","178.34","176.49","2.77K","-0.39%"
"05/13/2016","177.30","176.74","177.47","176.39","3.54K","1.12%"
"05/12/2016","175.34","175.40","175.52","175.00","0.64K","0.24%"
"05/11/2016","174.92","175.78","175.78","175.24","1.37K","-0.28%"
"05/10/2016","175.41","174.78","175.49","174.72","0.61K","0.41%"
"05/09/2016","174.69","174.75","175.22","174.67","1.50K","-0.01%"
"05/06/2016","174.70","175.28","175.35","174.75","0.73K","-0.11%"
"05/05/2016","174.90","173.42","175.01","173.42","174.03K","1.05%"
"05/04/2016","173.08","173.10","173.55","173.10","4.82K","0.01%"
"05/03/2016","173.07","172.10","173.22","171.69","1.89K","0.19%"
"05/02/2016","172.75","175.40","175.40","172.49","8.93K","-0.81%"
"04/29/2016","174.16","174.99","175.37","173.96","19.64K","-0.97%"
"04/28/2016","175.87","175.25","176.06","175.15","1.48K","0.53%"
"04/27/2016","174.94","174.74","175.05","174.53","1.35K","0.26%"
"04/26/2016","174.49","175.33","175.62","174.43","9.07K","-0.57%"
"04/25/2016","175.49","175.97","175.97","175.97","0.01K","-0.40%"
"04/22/2016","176.20","174.00","176.32","174.00","1.36K","0.67%"
"04/21/2016","175.02","175.52","175.65","174.20","0.94K","-0.52%"
"04/20/2016","175.93","175.90","176.19","175.00","1.81K","0.66%"
"04/19/2016","174.77","175.15","175.27","174.73","12.43K","-0.23%"
"04/18/2016","175.18","176.20","176.25","175.19","0.50K","-0.38%"
"04/15/2016","175.84","175.85","176.26","175.60","1.27K","-0.03%"
"04/14/2016","175.90","176.36","176.65","175.30","2.02K","0.14%"
"04/13/2016","175.65","174.65","175.64","174.65","1.64K","0.84%"
"04/12/2016","174.18","174.65","174.65","173.31","0.80K","-0.22%"
"04/11/2016","174.57","175.40","175.62","174.18","6.32K","-0.17%"
"04/08/2016","174.87","176.16","176.16","175.01","9.73K","-0.36%"
"04/07/2016","175.50","174.99","176.04","174.99","3.01K","0.32%"
"04/06/2016","174.94","175.82","175.82","174.84","1.22K","-0.30%"
"04/05/2016","175.46","175.96","176.56","175.57","0.75K","0.05%"
"04/04/2016","175.38","175.62","175.81","174.99","1.71K","-0.03%"
"04/01/2016","175.43","174.90","175.54","174.41","18.57K","0.26%"
"03/31/2016","174.98","175.82","175.82","174.72","4.87K","-0.14%"
"03/30/2016","175.23","175.76","175.76","174.75","1.16K","-0.69%"
"03/29/2016","176.45","177.00","177.00","174.79","1.06K","0.21%"
"03/24/2016","176.08","176.72","176.72","176.19","0.32K","-0.20%"
"03/23/2016","176.44","175.80","176.34","175.54","10.67K","0.24%"
"03/22/2016","176.01","176.05","176.27","175.59","0.21K","0.26%"
"03/21/2016","175.55","175.40","175.41","174.70","0.54K","0.41%"
"03/18/2016","174.83","174.59","174.87","174.32","1.51K","0.70%"
"03/17/2016","173.61","174.41","174.41","173.39","3.25K","-1.02%"
"03/16/2016","175.40","174.90","175.82","174.82","1.47K","0.49%"
"03/15/2016","174.54","175.44","175.63","174.75","5.13K","-0.18%"
"03/14/2016","174.86","174.36","175.29","174.36","0.69K","0.63%"
"03/11/2016","173.77","174.52","175.05","173.88","4.98K","-0.19%"
"03/10/2016","174.10","178.00","180.05","174.42","4.69K","-1.63%"
"03/09/2016","176.99","177.41","177.47","177.29","0.28K","0.09%"
"03/08/2016","176.83","177.05","177.81","176.89","0.82K","-0.24%"
"03/07/2016","177.26","178.09","178.19","177.62","0.90K","0.05%"
"03/04/2016","177.17","179.42","179.42","177.54","7.44K","-1.02%"
"03/03/2016","178.99","179.89","179.89","179.00","4.06K","-0.53%"
"03/02/2016","179.94","179.63","179.73","179.24","1.50K","0.15%"
"03/01/2016","179.67","179.75","180.10","179.50","15.43K","-0.09%"
"02/29/2016","179.83","178.42","180.12","178.42","1.56K","0.76%"
"02/26/2016","178.48","176.98","178.49","176.91","0.12K","0.71%"
"02/25/2016","177.22","176.81","177.58","176.50","0.67K","0.11%"
"02/24/2016","177.02","176.49","177.79","176.49","1.95K","0.57%"
"02/23/2016","176.01","175.40","176.03","175.36","0.88K","0.25%"
"02/22/2016","175.57","173.99","175.76","173.99","0.55K","1.01%"
"02/19/2016","173.81","174.36","174.40","173.92","1.56K","-0.31%"
"02/18/2016","174.35","173.50","173.65","173.33","0.20K","0.75%"
"02/17/2016","173.05","173.26","173.46","173.00","0.49K","-0.34%"
"02/16/2016","173.64","173.05","173.85","173.05","4.19K","-0.06%"
"02/15/2016","173.75","171.81","173.90","171.81","9.39K","0.56%"
"02/12/2016","172.78","171.90","172.52","171.63","0.26K","0.77%"
"02/11/2016","171.46","173.54","173.54","171.09","6.69K","-0.76%"
"02/10/2016","172.78","170.95","172.84","170.95","11.71K","1.34%"
"02/09/2016","170.49","172.68","172.89","170.61","1.28K","-1.76%"
"02/08/2016","173.54","173.12","174.41","173.12","1.71K","-0.09%"
"02/05/2016","173.70","173.49","174.16","173.10","2.62K","0.01%"
"02/04/2016","173.68","174.12","174.12","173.06","0.86K","-1.14%"
"02/03/2016","175.69","177.42","177.45","175.49","0.34K","-1.08%"
"02/02/2016","177.61","177.24","177.70","176.82","0.67K","0.15%"
"02/01/2016","177.35","178.21","178.21","177.16","0.40K","-0.80%"
"01/29/2016","178.78","177.00","178.94","177.00","2.60K","1.85%"
"01/28/2016","175.54","175.51","175.91","175.51","0.23K","-0.28%"
"01/27/2016","176.03","176.41","176.41","175.78","1.50K","-0.22%"
"01/26/2016","176.41","176.52","176.81","176.51","0.74K","-0.01%"
"01/25/2016","176.42","177.38","177.38","176.22","2.44K","0.11%"
"01/22/2016","176.22","175.64","176.32","175.00","3.39K","-0.06%"
"01/21/2016","176.33","175.30","177.40","175.29","0.70K","0.31%"
"01/20/2016","175.78","176.00","176.00","175.32","1.45K","0.27%"
"01/19/2016","175.30","175.49","175.78","175.14","1.26K","-0.40%"
"01/18/2016","176.01","176.11","176.11","175.00","0.96K","0.55%"
"01/15/2016","175.05","175.99","176.01","175.41","1.62K","-0.77%"
"01/14/2016","176.41","175.64","175.66","175.40","2.94K","0.18%"
"01/13/2016","176.09","176.08","176.52","175.95","0.90K","-0.07%"
"01/12/2016","176.21","175.11","176.34","175.11","0.69K","0.43%"
"01/11/2016","175.46","176.02","176.02","175.30","0.96K","0.04%"
"01/08/2016","175.39","175.62","176.44","175.14","4.87K","-0.41%"
"01/07/2016","176.11","177.77","178.13","176.27","1.18K","-0.91%"
"01/06/2016","177.72","178.20","178.20","177.94","0.14K","-0.05%"
"01/05/2016","177.81","176.85","177.87","176.85","0.94K","0.20%"
"01/04/2016","177.45","175.00","177.09","175.00","0.39K","2.13%"
"12/30/2015","173.75","173.66","173.95","173.32","0.21K","-0.26%"
"12/29/2015","174.20","173.57","174.16","173.57","0.16K","0.31%"
"12/28/2015","173.67","173.68","173.68","173.30","0.83K","-0.49%"
"12/23/2015","174.53","172.90","174.47","172.90","1.08K","0.82%"
"12/22/2015","173.11","173.93","173.93","172.98","1.54K","-0.71%"
"12/21/2015","174.35","175.00","175.19","174.42","0.38K","-0.72%"
"12/18/2015","175.62","175.68","175.68","175.23","0.17K","0.07%"
"12/17/2015","175.50","174.42","175.68","174.42","0.22K","1.45%"
"12/16/2015","173.00","173.50","173.98","172.86","1.82K","-0.51%"
"12/15/2015","173.88","172.30","173.40","172.00","0.49K","0.69%"
"12/14/2015","172.69","174.17","174.35","172.62","10.00K","-0.74%"
"12/11/2015","173.98","174.22","174.64","173.73","0.30K","-0.29%"
"12/10/2015","174.49","174.68","174.79","174.13","0.47K","0.30%"
"12/09/2015","173.97","176.82","176.82","173.97","0.29K","-1.32%"
"12/08/2015","176.29","176.50","176.50","175.99","0.17K","-0.24%"
"12/07/2015","176.71","177.07","177.30","176.54","9.56K","0.41%"
"12/04/2015","175.99","176.35","176.39","175.10","9.21K","0.23%"
"12/03/2015","175.58","181.71","182.38","175.81","3.78K","-3.54%"
"12/02/2015","182.02","181.51","182.20","181.35","0.61K","0.13%"
"12/01/2015","181.79","182.00","182.00","180.53","2.08K","-0.21%"
"11/30/2015","182.18","181.63","182.13","181.46","0.32K","0.36%"
"11/27/2015","181.53","181.00","181.88","181.00","2.90K","0.09%"
