"Date","Price","Open","High","Low","Vol.","Change %"
"06/02/2023","157.36","157.84","157.84","157.33","0.86K","-0.26%"
"06/01/2023","157.77","157.16","157.80","156.85","6.14K","0.36%"
"05/31/2023","157.21","157.42","157.59","156.88","5.52K","0.52%"
"05/30/2023","156.39","155.57","156.39","155.39","4.03K","0.79%"
"05/29/2023","155.16","154.06","155.26","154.06","2.75K","0.78%"
"05/26/2023","153.96","153.93","154.31","153.80","3.06K","-0.28%"
"05/25/2023","154.39","154.73","155.09","154.39","9.54K","-0.25%"
"05/24/2023","154.77","154.34","155.07","154.30","0.94K","0.03%"
"05/23/2023","154.72","154.64","154.73","154.39","6.33K","-0.10%"
"05/22/2023","154.87","155.24","155.41","154.72","2.91K","-0.26%"
"05/19/2023","155.28","154.82","155.28","154.31","8.47K","0.27%"
"05/18/2023","154.86","155.70","155.70","154.73","5.39K","-0.83%"
"05/17/2023","156.15","156.20","156.59","156.15","3.30K","0.12%"
"05/16/2023","155.97","157.08","157.09","155.97","3.29K","-0.33%"
"05/15/2023","156.48","156.36","156.77","156.32","6.65K","-0.24%"
"05/12/2023","156.86","157.07","157.24","156.79","7.77K","-0.36%"
"05/11/2023","157.42","157.03","157.83","156.42","5.98K","0.58%"
"05/10/2023","156.51","155.60","156.65","155.60","6.14K","0.42%"
"05/09/2023","155.86","156.20","156.39","155.80","2.69K","-0.15%"
"05/08/2023","156.10","156.55","156.67","155.78","1.84K","-0.28%"
"05/05/2023","156.54","157.06","157.12","156.45","1.05K","-0.61%"
"05/04/2023","157.50","156.80","157.76","156.29","8.46K","0.32%"
"05/03/2023","156.99","156.80","157.18","156.68","13.96K","0.13%"
"05/02/2023","156.79","155.37","156.81","155.34","7.63K","0.31%"
"04/28/2023","156.30","154.77","156.30","154.77","9.92K","1.11%"
"04/27/2023","154.59","155.25","155.32","154.51","3.61K","-0.53%"
"04/26/2023","155.42","155.88","156.13","155.19","3.45K","0.01%"
"04/25/2023","155.40","154.66","155.33","154.40","0.48K","0.82%"
"04/24/2023","154.13","154.52","154.74","154.00","5.26K","-0.05%"
"04/21/2023","154.21","154.84","154.84","154.10","6.55K","-0.30%"
"04/20/2023","154.67","154.27","154.67","153.97","1.56K","0.42%"
"04/19/2023","154.03","153.80","154.27","153.80","3.96K","-0.31%"
"04/18/2023","154.51","154.25","154.92","154.14","8.51K","0.05%"
"04/17/2023","154.44","154.78","154.83","154.20","5.27K","-0.23%"
"04/14/2023","154.80","155.23","155.70","154.78","11.81K","-0.46%"
"04/13/2023","155.52","156.02","156.03","155.20","5.09K","-0.04%"
"04/12/2023","155.58","156.14","156.20","155.23","2.36K","-0.48%"
"04/11/2023","156.33","158.49","158.49","156.27","5.31K","-0.90%"
"04/06/2023","157.75","157.65","158.37","157.53","5.40K","-0.01%"
"04/05/2023","157.77","156.63","159.46","156.31","21.38K","0.64%"
"04/04/2023","156.77","156.67","156.81","155.81","8.89K","-0.18%"
"04/03/2023","157.06","156.03","158.29","155.62","77.07K","0.36%"
"03/31/2023","156.49","155.39","156.49","154.99","5.00K","0.66%"
"03/30/2023","155.47","157.16","157.25","155.08","4.50K","-0.54%"
"03/29/2023","156.32","156.18","156.65","155.92","10.55K","-0.10%"
"03/28/2023","156.47","156.61","156.72","156.00","6.49K","-0.41%"
"03/27/2023","157.12","157.51","158.00","157.00","3.20K","-0.66%"
"03/24/2023","158.17","158.31","159.35","158.17","6.72K","0.47%"
"03/23/2023","157.43","156.61","157.43","156.14","1.81K","1.16%"
"03/22/2023","155.63","155.70","155.83","155.03","4.89K","-0.53%"
"03/21/2023","156.46","157.75","157.75","156.35","4.05K","-1.17%"
"03/20/2023","158.31","159.04","159.56","158.10","16.41K","0.29%"
"03/17/2023","157.85","156.03","158.17","156.03","6.89K","0.98%"
"03/16/2023","156.32","156.72","157.70","155.43","3.35K","-0.76%"
"03/15/2023","157.52","153.66","157.52","153.36","2.16K","2.19%"
"03/14/2023","154.14","156.65","156.65","153.99","3.69K","-0.86%"
"03/13/2023","155.48","154.14","157.00","154.14","1.07K","1.32%"
"03/10/2023","153.45","153.68","154.09","152.91","2.36K","0.81%"
"03/09/2023","152.21","151.36","152.21","151.22","0.75K","0.22%"
"03/08/2023","151.87","151.10","151.88","150.97","5.71K","0.44%"
"03/07/2023","151.20","151.92","151.92","151.20","1.88K","0.23%"
"03/06/2023","150.85","151.60","151.98","150.85","5.15K","-0.21%"
"03/03/2023","151.16","150.89","151.22","150.85","1.70K","0.34%"
"03/02/2023","150.65","150.70","151.11","150.55","10.24K","-0.23%"
"03/01/2023","151.00","151.24","151.72","150.93","2.63K","-0.64%"
