"Date","Price","Open","High","Low","Vol.","Change %"
"03/21/2011","99.30","99.26","99.60","99.09","28.19K","0.59%"
"03/18/2011","98.72","99.00","99.12","98.57","48.34K","0.22%"
"03/17/2011","98.50","98.46","98.80","98.26","23.63K","-0.17%"
"03/16/2011","98.67","98.64","99.41","98.61","105.54K","0.34%"
"03/15/2011","98.34","100.18","100.21","98.04","167.14K","-2.14%"
"03/14/2011","100.49","101.04","101.05","100.29","34.95K","-0.28%"
"03/11/2011","100.77","100.88","101.19","100.49","52.89K","0.27%"
"03/10/2011","100.50","101.65","101.75","100.22","24.77K","-0.55%"
"03/09/2011","101.06","100.86","101.69","100.86","19.90K","-0.25%"
"03/08/2011","101.31","100.76","101.65","100.74","14.63K","0.34%"
"03/07/2011","100.97","101.00","101.51","100.85","24.20K","0.29%"
"03/04/2011","100.68","99.98","100.79","99.82","26.38K","0.08%"
"03/03/2011","100.60","101.38","102.01","95.94","130.12K","-1.41%"
"03/02/2011","102.04","101.50","102.38","101.50","63.14K","0.70%"
"03/01/2011","101.33","101.50","101.50","100.58","31.71K","0.41%"
"02/28/2011","100.92","101.12","101.12","100.28","19.75K","0.15%"
"02/25/2011","100.77","100.49","101.16","99.85","39.73K","-0.01%"
"02/24/2011","100.78","101.69","101.69","100.70","59.18K","-0.20%"
"02/23/2011","100.98","100.61","101.14","100.46","44.45K","-0.32%"
"02/22/2011","101.30","101.01","101.26","100.74","26.03K","0.05%"
"02/21/2011","101.25","100.65","101.37","100.48","61.52K","1.15%"
"02/18/2011","100.10","100.42","100.78","99.80","41.91K","-0.11%"
"02/17/2011","100.21","100.23","100.40","99.90","9.72K","0.29%"
"02/16/2011","99.92","100.01","100.60","99.87","38.24K","-0.28%"
"02/15/2011","100.20","99.86","101.06","99.38","55.01K","0.41%"
"02/14/2011","99.79","98.88","99.96","98.88","37.12K","0.69%"
"02/11/2011","99.11","98.76","99.62","98.76","24.30K","0.55%"
"02/10/2011","98.57","98.08","98.68","97.95","67.35K","0.65%"
"02/09/2011","97.93","98.50","98.68","97.97","27.33K","-0.49%"
"02/08/2011","98.41","98.01","98.63","97.43","45.58K","0.13%"
"02/07/2011","98.28","97.78","98.50","97.52","102.70K","0.43%"
"02/04/2011","97.86","96.90","98.77","96.90","127.47K","1.66%"
"02/03/2011","96.26","95.00","96.45","94.75","79.03K","0.99%"
"02/02/2011","95.32","95.17","95.57","95.02","73.89K","0.25%"
"02/01/2011","95.08","96.14","96.16","94.75","45.45K","-0.73%"
"01/31/2011","95.78","96.74","96.82","95.19","46.34K","-0.09%"
"01/28/2011","95.87","94.80","96.20","94.15","49.14K","0.98%"
"01/27/2011","94.94","96.84","96.90","94.93","54.79K","-0.61%"
"01/26/2011","95.52","96.32","96.32","95.39","42.93K","-0.41%"
"01/25/2011","95.91","96.83","96.83","95.60","173.51K","-1.29%"
"01/24/2011","97.16","97.74","98.06","96.95","80.76K","-0.47%"
"01/21/2011","97.62","98.30","98.36","97.32","79.28K","-1.35%"
"01/20/2011","98.96","100.29","100.29","98.37","51.04K","-1.25%"
"01/19/2011","100.21","100.62","100.64","100.02","21.14K","-0.51%"
"01/18/2011","100.72","100.91","101.26","100.28","72.21K","-0.21%"
"01/17/2011","100.93","101.04","101.14","100.43","76.16K","0.81%"
"01/14/2011","100.12","102.10","102.10","99.93","99.60K","-2.19%"
"01/13/2011","102.36","104.00","104.02","102.05","31.03K","-1.64%"
"01/12/2011","104.07","104.96","105.11","104.00","28.67K","-0.66%"
